state_name,municipality_name,Computer systems design and related services,Engineering services,Management consulting services,Market research and public opinion survey services,Other scientific and technical consulting services,"Scientific research and development services in natural and exact sciences, engineering, and life sciences, provided by the private sector","Scientific research and development services in natural and exact sciences, engineering, and life sciences, provided by the public sector","Scientific research and development services in social sciences and humanities, provided by the private sector","Scientific research and development services in social sciences and humanities, provided by the public sector",Testing laboratories,total_direct,cluster,is_hotspot
OAXACA,HUAUTLA DE JIMENEZ,0,0,0,0,1,0,0,0,0,0,1,0,False
OAXACA,LOMA BONITA,0,0,2,0,0,0,0,0,0,0,2,0,False
OAXACA,MATIAS ROMERO AVENDANO,0,0,0,0,1,0,0,0,0,0,1,0,False
OAXACA,MIAHUATLAN DE PORFIRIO DIAZ,0,0,0,0,1,1,0,0,0,0,2,0,False
OAXACA,OAXACA DE JUAREZ,17,12,29,1,11,2,2,1,0,1,76,0,False
OAXACA,OCOTLAN DE MORELOS,0,0,0,0,1,0,0,0,0,0,1,0,False
OAXACA,PUTLA VILLA DE GUERRERO,0,0,1,0,1,0,0,0,0,0,2,0,False
OAXACA,SALINA CRUZ,0,1,2,0,1,0,0,0,0,1,5,0,False
OAXACA,SAN FRANCISCO LACHIGOLO,1,0,0,0,0,0,0,0,0,0,1,0,False
OAXACA,SAN JACINTO AMILPAS,0,0,0,0,0,0,0,0,0,1,1,0,False
OAXACA,SAN JUAN BAUTISTA TUXTEPEC,1,0,0,0,3,0,0,0,0,1,5,0,False
OAXACA,SAN JUAN BAUTISTA VALLE NACIONAL,0,0,0,0,1,0,0,0,0,0,1,0,False
OAXACA,SAN PABLO ETLA,0,0,1,0,0,0,0,0,0,0,1,0,False
OAXACA,SAN PABLO HUIXTEPEC,0,1,0,0,0,0,0,0,0,0,1,0,False
OAXACA,SAN PABLO VILLA DE MITLA,0,0,1,0,0,0,0,0,0,0,1,0,False
OAXACA,SAN PEDRO MIXTEPEC,0,3,3,0,0,0,0,0,0,0,6,0,False
OAXACA,SAN SEBASTIAN TUTLA,0,2,1,0,2,0,0,0,0,0,5,0,False
OAXACA,SANTA CRUZ XOXOCOTLAN,1,0,3,0,1,0,0,0,0,0,5,0,False
OAXACA,SANTA LUCIA DEL CAMINO,1,4,4,0,0,0,0,0,0,0,9,0,False
OAXACA,SANTA MARIA HUATULCO,0,0,1,0,0,0,0,0,0,0,1,0,False
OAXACA,SANTA MARIA JALAPA DEL MARQUES,0,0,1,0,0,0,0,0,0,0,1,0,False
OAXACA,SANTIAGO PINOTEPA NACIONAL,0,0,2,0,1,0,0,0,0,0,3,0,False
OAXACA,SANTIAGO TILLO,0,0,0,0,1,0,0,0,0,0,1,0,False
OAXACA,SANTO DOMINGO TEHUANTEPEC,1,0,0,0,0,0,0,0,0,0,1,0,False
OAXACA,SANTOS REYES NOPALA,1,0,0,0,0,0,0,0,0,0,1,0,False
OAXACA,TLACOLULA DE MATAMOROS,1,0,0,0,0,0,0,0,0,0,1,0,False
OAXACA,UNION HIDALGO,0,0,1,0,0,0,0,0,0,0,1,0,False
OAXACA,VILLA DE ETLA,1,0,0,0,0,0,0,0,0,0,1,0,False
OAXACA,VILLA SOLA DE VEGA,0,0,0,0,0,0,0,0,0,1,1,0,False
OAXACA,ZIMATLAN DE ALVAREZ,0,0,0,0,1,0,0,0,0,0,1,0,False
PUEBLA,ACATLAN,1,0,0,0,0,0,0,0,0,0,1,0,False
PUEBLA,AMOZOC,0,1,1,0,0,0,0,0,0,1,3,0,False
PUEBLA,ATLIXCO,3,0,0,0,0,0,0,0,0,0,3,0,False
PUEBLA,CALPAN,0,1,0,0,0,0,0,0,0,0,1,0,False
PUEBLA,CHALCHICOMULA DE SESMA,0,1,1,0,0,0,0,0,0,0,2,0,False
PUEBLA,CHIGNAHUAPAN,0,1,0,0,0,0,0,0,0,0,1,0,False
PUEBLA,CORONANGO,0,1,0,0,0,0,0,0,0,0,1,0,False
PUEBLA,CUAUTLANCINGO,0,2,4,0,0,0,0,0,0,2,8,0,False
PUEBLA,CUETZALAN DEL PROGRESO,0,0,0,0,1,0,0,0,0,0,1,0,False
PUEBLA,HUEJOTZINGO,0,0,1,0,1,0,0,0,0,0,2,0,False
PUEBLA,IZUCAR DE MATAMOROS,0,0,4,0,2,0,0,0,0,0,6,0,False
PUEBLA,LIBRES,0,0,0,0,1,0,0,0,0,0,1,0,False
PUEBLA,OCOYUCAN,0,0,2,0,0,0,0,0,0,0,2,0,False
PUEBLA,PALMAR DE BRAVO,0,0,1,0,0,0,0,0,0,0,1,0,False
PUEBLA,PUEBLA,56,43,96,1,22,3,0,0,0,10,231,1,True
PUEBLA,SAN ANDRES CHOLULA,2,6,9,0,0,0,0,0,1,0,18,0,False
PUEBLA,SAN MARTIN TEXMELUCAN,1,0,3,0,0,0,0,0,0,0,4,0,False
PUEBLA,SAN PEDRO CHOLULA,3,1,1,0,0,0,0,0,0,0,5,0,False
PUEBLA,TECAMACHALCO,2,1,0,0,0,0,2,0,0,0,5,0,False
PUEBLA,TEHUACAN,2,6,2,0,4,1,0,0,0,0,15,0,False
PUEBLA,TEPEACA,0,0,0,0,2,0,0,0,0,0,2,0,False
PUEBLA,TEZIUTLAN,1,0,2,0,6,1,0,0,0,0,10,0,False
PUEBLA,TLAHUAPAN,0,0,0,0,1,0,0,0,0,0,1,0,False
PUEBLA,TLATLAUQUITEPEC,0,1,0,0,0,0,0,0,0,0,1,0,False
PUEBLA,XICOTEPEC,1,1,0,0,3,0,0,0,0,1,6,0,False
PUEBLA,ZACATLAN,0,0,1,0,0,0,0,0,0,0,1,0,False
QUERETARO                               ,CORREGIDORA,4,1,6,0,2,0,0,0,0,0,13,0,False
QUERETARO                               ,EL MARQUES,3,1,3,0,1,0,0,0,0,2,10,0,False
QUERETARO                               ,HUIMILPAN,0,1,0,0,0,0,0,0,0,0,1,0,False
QUERETARO                               ,PEDRO ESCOBEDO,0,0,1,0,0,1,0,0,0,0,2,0,False
QUERETARO                               ,QUERETARO,68,32,80,4,20,6,2,0,0,12,224,1,True
QUERETARO                               ,SAN JUAN DEL RIO,2,2,2,0,2,0,0,0,0,1,9,0,False
QUERETARO                               ,TEQUISQUIAPAN,0,1,0,0,0,0,0,0,0,0,1,0,False
QUINTANA ROO,BACALAR,0,0,0,0,1,0,0,0,0,0,1,0,False
QUINTANA ROO,BENITO JUAREZ,16,4,50,9,5,0,3,0,0,4,91,0,False
QUINTANA ROO,COZUMEL,3,0,2,0,0,0,0,0,0,0,5,0,False
QUINTANA ROO,FELIPE CARRILLO PUERTO,0,0,0,0,1,0,1,0,0,0,2,0,False
QUINTANA ROO,ISLA MUJERES,0,0,1,0,0,0,0,0,0,0,1,0,False
QUINTANA ROO,JOSE MARIA MORELOS,0,1,3,0,0,0,0,0,0,0,4,0,False
QUINTANA ROO,LAZARO CARDENAS,0,0,1,0,0,0,0,0,0,0,1,0,False
QUINTANA ROO,OTHON P. BLANCO,3,1,3,0,1,0,0,3,0,2,13,0,False
QUINTANA ROO,PUERTO MORELOS,0,0,1,0,0,0,0,0,0,0,1,0,False
QUINTANA ROO,SOLIDARIDAD,3,0,10,0,2,0,0,0,0,0,15,0,False
QUINTANA ROO,TULUM,0,2,3,0,0,0,0,0,0,0,5,0,False
SAN LUIS POTOSI        ,CHARCAS,1,0,0,0,0,0,0,0,0,0,1,0,False
SAN LUIS POTOSI        ,CIUDAD VALLES,2,0,4,0,2,0,0,0,0,0,8,0,False
SAN LUIS POTOSI        ,EBANO,0,1,0,0,0,0,0,0,0,0,1,0,False
SAN LUIS POTOSI        ,MATEHUALA,0,0,3,0,2,0,0,0,0,0,5,0,False
SAN LUIS POTOSI        ,RIOVERDE,0,0,3,0,0,0,0,0,0,0,3,0,False
SAN LUIS POTOSI        ,SALINAS,0,0,0,0,0,0,1,0,0,0,1,0,False
SAN LUIS POTOSI        ,SAN LUIS POTOSI,19,16,41,3,7,3,0,1,2,8,100,1,True
SAN LUIS POTOSI        ,SOLEDAD DE GRACIANO SANCHEZ,0,1,1,0,1,0,0,0,0,2,5,0,False
SAN LUIS POTOSI        ,TAMAZUNCHALE,0,1,0,0,0,0,0,0,0,0,1,0,False
SAN LUIS POTOSI        ,TAMUIN,0,0,0,0,1,0,0,0,0,0,1,0,False
SAN LUIS POTOSI        ,VILLA DE REYES,0,0,0,0,1,0,0,0,0,0,1,0,False
SINALOA,AHOME,20,6,16,1,4,1,1,0,0,4,53,0,False
SINALOA,CULIACAN,17,5,26,0,5,1,1,0,1,8,64,0,False
SINALOA,GUASAVE,1,0,1,0,1,0,0,0,0,1,4,0,False
SINALOA,MAZATLAN,11,9,19,1,2,1,1,0,0,3,47,0,False
SINALOA,NAVOLATO,0,0,0,0,0,0,0,0,0,3,3,0,False
SINALOA,SALVADOR ALVARADO,0,0,1,0,0,0,0,0,0,0,1,0,False
SONORA,AGUA PRIETA,2,0,0,0,0,0,0,0,0,0,2,0,False
SONORA,CABORCA,2,3,3,0,2,1,0,0,0,1,12,0,False
SONORA,CAJEME,14,6,12,1,5,2,0,0,0,1,41,0,False
SONORA,CANANEA,0,0,0,0,0,0,2,0,0,0,2,0,False
SONORA,EMPALME,0,1,3,0,0,0,0,0,0,0,4,0,False
SONORA,GUAYMAS,1,1,0,0,0,1,0,0,0,4,7,0,False
SONORA,HERMOSILLO,31,34,58,8,17,4,0,0,0,8,160,1,True
SONORA,NACOZARI DE GARCIA,0,0,0,0,2,0,0,0,0,0,2,0,False
SONORA,NAVOJOA,3,4,3,0,1,0,0,0,0,1,12,0,False
SONORA,NOGALES,7,0,2,0,2,0,0,0,0,0,11,0,False
SONORA,PUERTO PENASCO,0,1,2,0,0,1,0,0,0,0,4,0,False
SONORA,SAN LUIS RIO COLORADO,3,1,2,0,0,0,0,0,1,0,7,0,False
TABASCO,BALANCAN,0,0,2,0,1,0,1,0,0,0,4,0,False
TABASCO,CARDENAS,1,3,2,0,2,0,0,0,0,1,9,0,False
TABASCO,CENTRO,7,25,31,2,10,2,2,0,0,6,85,0,False
TABASCO,COMALCALCO,0,2,0,0,0,0,0,0,0,0,2,0,False
TABASCO,CUNDUACAN,0,0,1,0,0,0,0,0,0,0,1,0,False
TABASCO,EMILIANO ZAPATA,0,0,0,0,1,0,0,0,0,0,1,0,False
TABASCO,MACUSPANA,1,0,0,0,0,0,0,0,0,0,1,0,False
TABASCO,NACAJUCA,0,1,1,0,0,0,0,0,0,0,2,0,False
TABASCO,PARAISO,0,4,2,0,0,0,0,0,0,0,6,0,False
TABASCO,TEAPA,0,0,1,0,1,0,0,0,0,0,2,0,False
TABASCO,TENOSIQUE,0,0,1,0,0,0,0,0,0,0,1,0,False
TAMAULIPAS,ALDAMA,0,1,0,0,1,0,0,0,0,0,2,0,False
TAMAULIPAS,ALTAMIRA,2,2,0,0,3,2,0,0,0,0,9,0,False
TAMAULIPAS,CIUDAD MADERO,3,0,4,0,1,0,0,0,0,1,9,0,False
TAMAULIPAS,MATAMOROS,1,0,9,1,1,2,2,0,0,3,19,0,False
TAMAULIPAS,NUEVO LAREDO,0,3,6,0,1,0,0,0,0,3,13,0,False
TAMAULIPAS,REYNOSA,5,5,10,0,3,0,0,0,1,1,25,0,False
TAMAULIPAS,RIO BRAVO,0,0,0,0,1,0,0,0,0,0,1,0,False
TAMAULIPAS,SAN FERNANDO,0,0,1,0,0,0,0,0,0,0,1,0,False
TAMAULIPAS,TAMPICO,2,7,8,2,7,0,2,0,0,4,32,0,False
TAMAULIPAS,VALLE HERMOSO,0,0,0,0,1,0,0,0,0,0,1,0,False
TAMAULIPAS,VICTORIA,1,4,5,1,4,0,0,0,0,0,15,0,False
TLAXCALA,APIZACO,2,2,4,0,0,0,0,0,0,0,8,0,False
TLAXCALA,CALPULALPAN,0,2,0,0,2,0,0,0,0,0,4,0,False
TLAXCALA,CHIAUTEMPAN,1,1,1,0,0,0,0,0,0,0,3,0,False
TLAXCALA,HUAMANTLA,2,0,1,0,0,0,0,0,0,0,3,0,False
TLAXCALA,PANOTLA,0,0,0,0,0,0,1,0,0,0,1,0,False
TLAXCALA,SAN PABLO DEL MONTE,0,0,0,0,2,0,0,0,0,1,3,0,False
TLAXCALA,TETLA DE LA SOLIDARIDAD,0,2,0,0,0,0,0,0,0,0,2,0,False
TLAXCALA,TLAXCALA,1,0,4,0,2,0,0,0,0,0,7,0,False
TLAXCALA,TLAXCO,0,1,0,0,0,0,0,0,0,0,1,0,False
VERACRUZ DE IGNACIO DE LA LLAVE,BOCA DEL RIO,0,1,1,0,0,0,0,0,0,0,2,0,False
VERACRUZ DE IGNACIO DE LA LLAVE,VERACRUZ,1,0,0,0,0,0,0,0,0,0,1,0,False
VERACRUZ DE IGNACIO DE LA LLAVE,XALAPA,0,1,0,0,0,0,0,0,0,0,1,0,False
YUCATAN,MERIDA,0,1,1,1,1,0,0,0,0,0,4,0,False
