state_name,density,hhi_activity,gini_geo,cagr,density_norm,hhi_norm,cagr_norm,competitive_intensity
CIUDAD DE MEXICO,4015,0.11852235313092714,0.5167652552926526,-0.029795214614548038,1.0,0.021379414251131074,0.16281857886938794,0.546
MEXICO                      ,2226,0.2569042331540424,0.7341044496201119,0.02471559811843904,0.5543099152964623,0.17501162145032895,0.4648272815399831,0.4371
PUEBLA,1200,0.15640555555555558,0.8030246913580247,0.08399375552009536,0.2987045341305431,0.06343752188269011,0.7932487178753819,0.3635
ZACATECAS,1,1.0,0.0,0.0,0.0,1.0,0.32789434384851185,0.332
JALISCO,1768,0.11643009971130813,0.8338668527967652,0.008247786073773078,0.44020926756352763,0.01905658476780244,0.3735899232603639,0.3183
HIDALGO,447,0.20569143532073128,0.6790690372463597,0.10477749091761046,0.1111111111111111,0.11815493496317014,0.9083977800403279,0.3122
MORELOS,338,0.17037218584783442,0.7141399714344012,0.12131115837153761,0.08395615346287992,0.07894333983067257,1.0,0.3117
OAXACA,610,0.16586401504971782,0.6805029444532867,0.08642611439587977,0.1517189835575486,0.07393834763061045,0.8067248249388236,0.296
NUEVO LEON   ,1283,0.11400537881001574,0.8307152706996822,0.02557829270299128,0.3193821624314898,0.0163646483390926,0.46960690707148617,0.2812
MICHOACAN DE OCAMPO,791,0.17096411749757465,0.7034164842280534,0.05463807668780496,0.19681116093672146,0.07960050510292832,0.6306081327206198,0.276
GUANAJUATO,966,0.11901332681780966,0.7130952380952381,0.02825040746963481,0.24040857000498256,0.02192449552318699,0.4844113444592376,0.2468
AGUASCALIENTES,317,0.11210182208998001,0.8400630914826499,0.08161391810904539,0.0787244643746886,0.014251310809792493,0.7800635978405963,0.2379
SAN LUIS POTOSI        ,402,0.13508329001757383,0.8119402985074626,0.06135476677021634,0.09990034877927255,0.03976544345348867,0.6678209122835628,0.2268
CAMPECHE,199,0.09926517007146285,0.6912339475153545,0.08161391810904539,0.04932735426008968,0.0,0.7800635978405963,0.2197
BAJA CALIFORNIA SUR,177,0.10057773947460819,0.519774011299435,0.07257933104513925,0.04384653712007972,0.0014572206597689501,0.7300088695851199,0.2048
TAMAULIPAS,423,0.13883160359695745,0.6614012465076295,0.026794529291671365,0.10513203786746388,0.04392683863311219,0.4763452772382825,0.1826
SONORA,593,0.10855426860306726,0.7820080425476715,0.009616625923130284,0.1474838066766318,0.010312800419121564,0.3811737681223579,0.1716
COAHUILA DE ZARAGOZA,524,0.12639851989977274,0.7704471101417667,0.008748933405221315,0.130293971101146,0.030123571251777406,0.37636645231633087,0.1668
SINALOA,501,0.11739793865363085,0.7693363273453093,0.010510179596759706,0.1245640259093174,0.020131084065669613,0.3861243636502808,0.1638
CHIAPAS,581,0.17947867200298612,0.7417979610750695,-0.015515014488684531,0.14449427005480817,0.08905340313962021,0.24193581263755484,0.155
CHIHUAHUA,540,0.11626200274348421,0.8225442834138486,0.0,0.13428001993024413,0.01886996273183958,0.32789434384851185,0.1538
GUERRERO,315,0.24968505920886874,0.6838730158730157,-0.01500019289243082,0.07822620827105133,0.16699686094001712,0.24478810183663516,0.1421
VERACRUZ DE IGNACIO DE LA LLAVE,5,0.28,0.1499999999999999,0.0,0.000996512207274539,0.20065264928511356,0.32789434384851185,0.1326
TABASCO,318,0.1584391440212017,0.6276729559748427,-0.005507124928227025,0.07897359242650723,0.06569522126110482,0.29738297240436057,0.1303
QUINTANA ROO,337,0.1166075249407849,0.6965200971135689,0.0,0.08370702541106129,0.019253563083263876,0.32789434384851185,0.1286
BAJA CALIFORNIA,662,0.10562152590794169,0.6590418644799309,-0.02972770551306314,0.16467364225211759,0.0070568558306812025,0.16319260257469906,0.1249
YUCATAN,4,0.25,0.0,0.0,0.0007473841554559044,0.16734650967199327,0.32789434384851185,0.1242
NAYARIT,154,0.11477483555405635,0.7142857142857143,0.0,0.03811659192825112,0.017218902797201716,0.32789434384851185,0.1053
TLAXCALA,191,0.25292618075162415,0.5865183246073299,-0.03203705666119683,0.04733432984554061,0.17059516916022058,0.15039800074634202,0.1039
QUERETARO                               ,601,0.10320292579477908,0.8301640123603518,-0.03956644352180494,0.14947683109118087,0.0043717147294377885,0.10868260074275317,0.103
DURANGO,241,0.14044179680101926,0.8241974230181263,-0.05918302027616429,0.059790732436472344,0.04571448262173152,0.0,0.0413
COLIMA,144,0.10947145061728396,0.5763888888888888,-0.04485567110259181,0.035625311410064774,0.011331060159659706,0.07937845575361939,0.0405
